"You are %1 away from free shipping.","You are %1 away from free shipping."
"Congratulations! You have earned free shipping.","Congratulations! You have earned free shipping."
"Free Shipping Bar","Free Shipping Bar"
"General","General"
"Enabled","Enabled"
"Show On","Show On"
"Minicart / cart sidebar","Minicart / cart sidebar"
"Shopping cart page","Shopping cart page"
"Checkout order summary","Checkout order summary"
"Measure Progress On","Measure Progress On"
"Subtotal after discount","Subtotal after discount"
"Subtotal before discount","Subtotal before discount"
"Grand total","Grand total"
"Include Tax","Include Tax"
"Thresholds","Thresholds"
"Per Customer Group","Per Customer Group"
"Customer Group","Customer Group"
"Threshold","Threshold"
"Add Threshold","Add Threshold"
"Auto-detect From Shipping Configuration","Auto-detect From Shipping Configuration"
"Auto-detect From Cart Price Rules","Auto-detect From Cart Price Rules"
"Appearance","Appearance"
"Message While In Progress","Message While In Progress"
"Message Once Qualified","Message Once Qualified"
"Keep Showing After Qualifying","Keep Showing After Qualifying"
"Track Color","Track Color"
"Fill Color","Fill Color"
"Qualified Color","Qualified Color"
"-- Please Select --","-- Please Select --"
"Free Shipping Bar: threshold ""%1"" must be a number of 0 or more.","Free Shipping Bar: threshold ""%1"" must be a number of 0 or more."
"Free Shipping Bar: customer group ID %1 is listed more than once.","Free Shipping Bar: customer group ID %1 is listed more than once."
"Threshold provider ""%1"" must implement ThresholdProviderInterface.","Threshold provider ""%1"" must implement ThresholdProviderInterface."
