"You are %1 away from free shipping.","Te encuentras a %1 del envío gratuito."
"Congratulations! You have earned free shipping.","¡Enhorabuena! Has conseguido el envío gratuito."
"Free Shipping Bar","Barra de envío gratuito"
"General","General"
"Enabled","Activado"
"Show On","Mostrar en"
"Minicart / cart sidebar","Minicarrito / barra lateral del carrito"
"Shopping cart page","Página del carrito"
"Checkout order summary","Resumen del pedido en el checkout"
"Ajax Cart Pro ""added to cart"" popup","Ventana emergente de Ajax Cart Pro"
"Measure Progress On","Medir el progreso sobre"
"Subtotal after discount","Subtotal después del descuento"
"Subtotal before discount","Subtotal antes del descuento"
"Grand total","Total"
"Include Tax","Incluir impuestos"
"Thresholds","Umbrales"
"Per Customer Group","Por grupo de clientes"
"Customer Group","Grupo de clientes"
"Threshold","Umbral"
"Add Threshold","Añadir umbral"
"Auto-detect From Shipping Configuration","Detectar desde la configuración de envío"
"Auto-detect From Cart Price Rules","Detectar desde las reglas de precio del carrito"
"Appearance","Apariencia"
"Message While In Progress","Mensaje mientras falta importe"
"Message Once Qualified","Mensaje al conseguirlo"
"Keep Showing After Qualifying","Seguir mostrando al conseguirlo"
"Track Color","Color de la barra"
"Fill Color","Color de relleno"
"Qualified Color","Color al conseguirlo"
"-- Please Select --","-- Seleccione --"
